,A1,A2,A3,Ra,Rb
0,33,10,-34,4.2,3
1,33,10,-34,4.3,3
2,33,10,-34,4.4,3
3,33,10,-34,4.5,3
4,33,10,-34,4.2,3.1
5,33,10,-34,4.3,3.1
6,33,10,-34,4.4,3.1
7,33,10,-34,4.5,3.1
8,33,10,-34,4.2,2.9
9,33,10,-34,4.2,2.8
10,33,11,-34,4,3.2
11,33,11,-34,4.1,3.2
12,33,11,-34,4.2,3.2
13,33,11,-34,4.3,3.2
14,33,11,-34,4.4,3.2
15,33,11,-34,4,3.1
16,33,11,-34,4.1,3.1
17,33,11,-34,4.2,3.1
18,33,11,-34,4.3,3.1
19,33,11,-34,4.4,3.1
20,33,11,-34,4,3
21,33,11,-34,4.1,3
22,33,12,-35,4,3.2
23,33,12,-35,4.1,3.2
24,33,12,-35,4.2,3.2
25,33,12,-35,4.3,3.2
26,33,12,-35,4.4,3.2
27,33,12,-35,4,3.1
28,33,12,-35,4.1,3.1
29,33,12,-35,4.2,3.1
30,33,12,-35,4.3,3.1
31,33,12,-35,4.4,3.1
32,33,12,-35,4,3
33,33,12,-35,4.1,3
34,33,13,-36,4.1,3.1
35,33,13,-36,4.2,3.1
36,33,13,-36,4.3,3.1
37,33,13,-36,4.4,3.1
38,33,13,-36,4.1,3
39,33,13,-36,4.2,3
40,33,13,-36,4.3,3
41,33,13,-36,4.4,3
42,33,13,-36,4.1,2.9
43,33,13,-36,4.2,2.9
44,33,14,-37,4.1,3.1
45,33,14,-37,4.2,3.1
46,33,14,-37,4.3,3.1
47,33,14,-37,4.4,3.1
48,33,14,-37,4.1,3
49,33,14,-37,4.2,3
50,33,14,-37,4.3,3
51,33,14,-37,4.4,3
52,33,14,-37,4.1,2.9
53,33,14,-37,4.2,2.9
54,33,15,-38,4.1,3.2
55,33,15,-38,4.2,3.2
56,33,15,-38,4.3,3.2
57,33,15,-38,4.4,3.2
58,33,15,-38,4.1,3.1
59,33,15,-38,4.2,3.1
60,33,15,-38,4.3,3.1
61,33,15,-38,4.4,3.1
62,33,15,-38,4.1,3
63,33,15,-38,4.2,3
64,33,15,-38,4.1,2.9
65,33,15,-38,4.2,2.9
66,33,16,-39,4.1,3.2
67,33,16,-39,4.2,3.2
68,33,16,-39,4.3,3.2
69,33,16,-39,4.4,3.2
70,33,16,-39,4.1,3.1
71,33,16,-39,4.2,3.1
72,33,16,-39,4.3,3.1
73,33,16,-39,4.4,3.1
74,33,16,-39,4.1,3
75,33,16,-39,4.2,3
76,33,16,-39,4.1,2.9
77,33,16,-39,4.2,2.9
