X,Y,Z,R
-0.002458026,-2.029980957,-0.583671901,1.8
0.003174115,2.034404015,0.585681289,1.8
-6.56026E-05,-1.544785813,-3.368309849,1.7
-0.000943025,-0.649012721,-4.435842245,1.7
0.000215214,0.734508962,-4.16958404,1.7
0.00190551,1.22715374,-2.87560118,1.7
-0.003339886,-1.230216756,2.874130088,1.7
-0.003369234,-0.743347252,4.172123513,1.7
-0.001423152,0.637705247,4.42022792,1.7
0.000608569,1.54967043,3.371508661,1.7
0.000756263,1.06346462,2.065371966,1.7
-0.001217601,-0.329830973,1.799167082,1.7
-0.001017475,-0.567007655,0.386191682,1.7
0.001323179,0.571520002,-0.382773584,1.7
0.003600212,0.333536187,-1.795609248,1.7
0.002250941,-1.057781074,-2.063010151,1.7
0.052809448,-1.149425168,-5.860094042,1.7
1.488885288,-1.206256023,-6.413089163,1.7
1.555887217,-1.703855755,-7.85933585,1.7
2.982165705,-1.76087198,-8.414831599,1.7
3.053203201,-2.259638617,-9.861334241,1.7
4.479116981,-2.315091744,-10.41801238,1.7
4.550663452,-2.814262625,-11.86421048,1.7
5.976257987,-2.869451753,-12.42286567,1.7
6.034942583,-3.369982344,-13.86873912,1.7
-0.003212618,-2.613139593,-3.556253426,1.2
-0.004025186,1.427848706,-5.004118395,1.2
-0.002221553,2.295755971,-2.692139531,1.2
-0.00497408,-2.297366808,2.6830123,1.2
-0.004996414,-1.435987529,5.005634139,1.2
-0.001554155,1.000227094,5.441525923,1.2
0.002050166,2.615822697,3.565528144,1.2
-0.394644886,-2.147335778,-5.919607429,1.2
-0.551817676,-0.498439976,-6.501495332,1.2
2.092634989,-1.856345075,-5.768888766,1.2
1.9379932,-0.208389401,-6.344170525,1.2
1.102250012,-2.701514104,-7.921432841,1.2
0.944239886,-1.0518258,-8.496318339,1.2
3.593501745,-2.411567866,-7.776528975,1.2
3.434791123,-0.762911298,-8.352833346,1.2
2.601365528,-3.258123395,-9.922722624,1.2
2.440498948,-1.609492177,-10.49916285,1.2
5.091878314,-2.964831093,-9.779843277,1.2
4.930679897,-1.31646337,-10.35676504,1.2
4.099727728,-3.81335845,-11.92585818,1.2
3.937435441,-2.165075498,-12.50284623,1.2
6.425833502,-1.870913875,-12.36127595,1.2
6.588129968,-3.518274097,-11.78440878,1.2
7.062034086,-3.399708162,-14.2426951,1.2
5.620248541,-4.379578739,-13.95222542,1.2
5.456687592,-2.720216234,-14.53331047,1.2
