R1,R2,Eheri,Epara,Etotal
4.2,0.3,11.8169,16.2479,79.7634
4.3,0.3,2.7793,8.2676,27.6524
4.4,0.3,-3.4095,2.2067,-9.2246
4.5,0.3,-7.4875,-2.3071,-34.5642
4.6,0.3,-10.0058,-5.5842,-51.1916
4.7,0.3,-11.3817,-7.8706,-61.268
4.8,0.3,-11.9285,-9.3593,-66.4326
4.9,0.3,-11.8921,-10.2065,-67.9814
5,0.3,-11.4751,-10.5545,-67.0094
5.1,0.3,-10.8349,-10.5326,-64.4048
5.2,0.3,-10.0867,-10.2542,-60.8552
4.2,0.4,10.263,3.6641,48.3802
4.3,0.4,1.5847,-1.2304,3.878
4.4,0.4,-4.3269,-4.8123,-26.9322
4.5,0.4,-8.1948,-7.3445,-47.4682
4.6,0.4,-10.5545,-9.0301,-60.2782
4.7,0.4,-11.8068,-10.0347,-67.2966
4.8,0.4,-12.2558,-10.5025,-70.0282
4.9,0.4,-12.1461,-10.5677,-69.7198
5,0.4,-11.6758,-10.3482,-67.3996
5.1,0.4,-10.9998,-9.9431,-63.8854
5.2,0.4,-10.226,-9.4258,-59.7556
4.2,0.5,8.7153,-3.9651,26.931
4.3,0.5,0.3988,-6.7569,-11.9186
4.4,0.5,-5.2368,-8.652,-38.2512
4.5,0.5,-8.8921,-9.824,-55.2164
4.6,0.5,-11.0869,-10.421,-65.1896
4.7,0.5,-12.2094,-10.5828,-70.0032
4.8,0.5,-12.5543,-10.4291,-71.0754
4.9,0.5,-12.3668,-10.066,-69.5992
5,0.5,-11.8432,-9.5725,-66.5178
5.1,0.5,-11.1346,-9.0075,-62.5534
5.2,0.5,-10.3407,-8.4137,-58.1902
4.2,0.6,7.2767,-8.2211,12.6646
4.3,0.6,-0.7036,-9.5719,-21.9582
4.4,0.6,-6.0865,-10.31,-44.966
4.5,0.6,-9.5449,-10.5752,-59.33
4.6,0.6,-11.5805,-10.4943,-67.3106
4.7,0.6,-12.5725,-10.1783,-70.6466
4.8,0.6,-12.8152,-9.713,-70.6868
4.9,0.6,-12.5512,-9.1624,-68.5296
5,0.6,-11.978,-8.5742,-65.0604
5.1,0.6,-11.2387,-7.9747,-60.9042
5.2,0.6,-10.4291,-7.3827,-56.4818
4.2,0.7,6.042,-10.1639,3.8402
4.3,0.7,-1.6511,-10.5426,-27.6896
4.4,0.7,-6.8259,-10.5426,-48.3888
4.5,0.7,-10.1168,-10.2811,-61.0294
4.6,0.7,-12.0119,-9.8491,-67.7458
4.7,0.7,-12.8836,-9.3154,-70.1652
4.8,0.7,-13.0284,-8.7329,-69.5794
4.9,0.7,-12.6942,-8.134,-67.0448
5,0.7,-12.0765,-7.5395,-63.385
5.1,0.7,-11.3127,-6.9613,-59.1734
5.2,0.7,-10.4912,-6.4076,-54.78
4.2,0.8,5.0901,-10.5727,-0.785
4.3,0.8,-2.3829,-10.3714,-30.2744
4.4,0.8,-7.4059,-9.977,-49.5776
4.5,0.8,-10.5752,-9.4659,-61.2326
4.6,0.8,-12.3581,-8.8928,-67.218
4.7,0.8,-13.1262,-8.2951,-69.095
4.8,0.8,-13.1871,-7.6969,-68.1422
4.9,0.8,-12.7926,-7.1137,-65.3978
5,0.8,-12.1386,-6.5531,-61.6606
5.1,0.8,-11.3572,-6.0219,-57.4726
5.2,0.8,-10.5288,-5.5203,-53.1558
4.2,0.9,4.4787,-10.0961,-2.2774
4.3,0.9,-2.8539,-9.6108,-30.6372
4.4,0.9,-7.7928,-9.0489,-49.269
4.5,0.9,-10.8907,-8.4557,-60.4742
4.6,0.9,-12.5976,-7.8574,-66.1052
4.7,0.9,-13.2887,-7.2686,-67.692
4.8,0.9,-13.2836,-6.7011,-66.5366
4.9,0.9,-12.8447,-6.1605,-63.6998
5,0.9,-12.1655,-5.6513,-59.9646
5.1,0.9,-11.3729,-5.1747,-55.841
5.2,0.9,-10.5433,-4.7339,-51.641
4.2,1,4.236,-9.2044,-1.4648
4.3,1,-3.037,-8.6162,-29.3804
4.4,1,-7.9615,-8.018,-47.882
4.5,1,-11.0424,-7.4241,-59.0178
4.6,1,-12.7149,-6.8503,-64.5602
4.7,1,-13.3614,-6.3023,-66.0502
4.8,1,-13.3169,-5.7849,-64.8374
4.9,1,-12.851,-5.2995,-62.003
5,1,-12.1586,-4.848,-58.3304
5.1,1,-11.3635,-4.4348,-54.3236
5.2,1,-10.5376,-4.0554,-50.2612
4.2,1.1,4.3677,-8.1773,1.1162
4.3,1.1,-2.9291,-7.5815,-26.8794
4.4,1.1,-7.9001,-7.0021,-45.6046
4.5,1.1,-11.018,-6.4465,-56.965
4.6,1.1,-12.7004,-5.921,-62.6436
4.7,1.1,-13.3401,-5.4262,-64.2128
4.8,1.1,-13.2836,-4.9653,-63.065
4.9,1.1,-12.8127,-4.5414,-60.3336
5,1.1,-12.121,-4.1538,-56.7916
5.1,1.1,-11.3315,-3.797,-52.92
5.2,1.1,-10.5132,-3.4735,-48.9998
4.2,1.2,4.8512,-7.1545,5.0958
4.3,1.2,-2.5441,-6.5926,-23.3616
4.4,1.2,-7.6154,-6.0583,-42.5782
4.5,1.2,-10.8154,-5.556,-54.3736
4.6,1.2,-12.5525,-5.0857,-60.3814
4.7,1.2,-13.2228,-4.6511,-62.1934
4.8,1.2,-13.1883,-4.2548,-61.2628
4.9,1.2,-12.7324,-3.8892,-58.708
5,1.2,-12.0545,-3.5562,-55.3304
5.1,1.2,-11.2807,-3.2565,-51.6358
5.2,1.2,-10.4755,-2.9843,-47.8706
4.2,1.3,5.6482,-6.1982,10.1964
4.3,1.3,-1.9101,-5.6877,-19.0158
4.4,1.3,-7.125,-5.2086,-38.9172
4.5,1.3,-10.4442,-4.764,-51.3048
4.6,1.3,-12.2759,-4.3576,-57.8188
4.7,1.3,-13.0178,-3.9839,-60.039
4.8,1.3,-13.0341,-3.6434,-59.4232
4.9,1.3,-12.6158,-3.3336,-57.1304
5,1.3,-11.9668,-3.0539,-53.975
5.1,1.3,-11.213,-2.7993,-50.4506
5.2,1.3,-10.4235,-2.5692,-46.8324
4.2,1.4,6.7055,-5.334,16.154
4.3,1.4,-1.0704,-4.88,-14.0416
4.4,1.4,-6.4609,-4.463,-34.7696
4.5,1.4,-9.9281,-4.0811,-47.8746
4.6,1.4,-11.8877,-3.7318,-55.0144
4.7,1.4,-12.7337,-3.4126,-57.76
4.8,1.4,-12.8303,-3.1267,-57.5746
4.9,1.4,-12.4697,-2.8658,-55.6104
5,1.4,-11.8589,-2.6294,-52.6944
5.1,1.4,-11.1321,-2.4162,-49.3608
5.2,1.4,-10.3608,-2.2243,-45.8918
4.2,1.5,7.9553,-4.5702,22.6808
4.3,1.5,-0.0746,-4.1802,-8.6588
4.4,1.5,-5.6626,-3.8221,-30.2946
4.5,1.5,-9.2985,-3.4948,-44.1836
4.6,1.5,-11.4099,-3.2007,-52.041
4.7,1.5,-12.3875,-2.9335,-55.417
4.8,1.5,-12.5876,-2.6902,-55.7308
4.9,1.5,-12.2991,-2.4707,-54.1378
5,1.5,-11.7379,-2.2738,-51.4992
5.1,1.5,-11.0412,-2.0951,-48.355
5.2,1.5,-10.2899,-1.9314,-45.0224
