z,Et,Ep
-4.0,-7.478799094678834,-6.219787503709085
-3.9,-7.491882050642744,-6.306533230934292
-3.8,-7.533064276969526,-6.385170274064876
-3.7,-7.6059401507955045,-6.45504351251293
-3.6,-7.712538412073627,-6.516098980559036
-3.5,-7.852503262576647,-6.568932812544517
-3.4,-8.023601394088473,-6.614559064502828
-3.3,-8.221926557191182,-6.653942847275175
-3.2,-8.44139692466706,-6.688356750644743
-3.1,-8.674359384633135,-6.719646909390576
-3.0,-8.911629073088989,-6.7502643772168085
-2.9,-9.143013345601503,-6.7829350577667356
-2.8,-9.358000154024921,-6.820332143921405
-2.7,-9.546191030705813,-6.864901669207029
-2.6,-9.698552341142204,-6.918528673704714
-2.5,-9.808290034881793,-6.9823188302107155
-2.4,-9.87143071857281,-7.056490512215532
-2.3,-9.887284758791793,-7.140206621377729
-2.2,-9.858466989535373,-7.231706364429556
-2.1,-9.790836471831426,-7.328549982863478
-2.0,-9.692825057310984,-7.427611221559346
-1.9,-9.57469818246318,-7.5256508737802505
-1.8,-9.44746864726767,-7.619670697138645
-1.7,-9.322607962531038,-7.7068343460559845
-1.6,-9.211473431496415,-7.78456024476327
-1.5,-9.123415580717847,-7.85100853361655
-1.4,-9.066332251008134,-7.905055969837122
-1.3,-9.045374044566415,-7.945575545774773
-1.2,-9.064015484065749,-7.971550694666803
-1.1,-9.123667212377768,-7.9828220292693
-1.0,-9.222942431806587,-7.980108676012605
-0.9,-9.358281906112097,-7.964630514383316
-0.8,-9.52287526911823,-7.937685234937817
-0.7,-9.70831012178678,-7.901284634950571
-0.6,-9.904890179284848,-7.858383031212725
-0.5,-10.100800056301523,-7.812618726864457
-0.4,-10.283964577829465,-7.767754271742888
-0.3,-10.44199418608332,-7.727651362773031
-0.2,-10.563751206500456,-7.696002268465236
-0.1,-10.640537095139734,-7.675728675443679
0.0,-10.666620803123806,-7.668741979054175
0.1,-10.640537095139734,-7.675728675443679
0.2,-10.563751206500456,-7.696002268465236
0.3,-10.44199418608332,-7.727651362773031
0.4,-10.283964577829465,-7.767754271742888
0.5,-10.100800056301523,-7.812618726864457
0.6,-9.904890179284848,-7.858383031212725
0.7,-9.70831012178678,-7.901284634950571
0.8,-9.52287526911823,-7.937685234937817
0.9,-9.358281906112097,-7.964630514383316
1.0,-9.222942431806587,-7.980108676012605
1.1,-9.123667212377768,-7.9828220292693
1.2,-9.064015484065749,-7.971550694666803
1.3,-9.045374044566415,-7.945575545774773
1.4,-9.066332251008134,-7.905055969837122
1.5,-9.123415580717847,-7.85100853361655
1.6,-9.211473431496415,-7.78456024476327
1.7,-9.322607962531038,-7.7068343460559845
1.8,-9.44746864726767,-7.619670697138645
1.9,-9.57469818246318,-7.5256508737802505
2.0,-9.692825057310984,-7.427611221559346
2.1,-9.790836471831426,-7.328549982863478
2.2,-9.858466989535373,-7.231706364429556
2.3,-9.887284758791793,-7.140206621377729
2.4,-9.87143071857281,-7.056490512215532
2.5,-9.808290034881793,-6.9823188302107155
2.6,-9.698552341142204,-6.918528673704714
2.7,-9.546191030705813,-6.864901669207029
2.8,-9.358000154024921,-6.820332143921405
2.9,-9.143013345601503,-6.7829350577667356
3.0,-8.911629073088989,-6.7502643772168085
3.1,-8.674359384633135,-6.719646909390576
3.2,-8.44139692466706,-6.688356750644743
3.3,-8.221926557191182,-6.653942847275175
3.4,-8.023601394088473,-6.614559064502828
3.5,-7.852503262576647,-6.568932812544517
3.6,-7.712538412073627,-6.516098980559036
3.7,-7.6059401507955045,-6.45504351251293
3.8,-7.533064276969526,-6.385170274064876
3.9,-7.491882050642744,-6.306533230934292
4.0,-7.478799094678834,-6.219787503709085
